,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,job
0,0.3340805839455823,0.2561647483075817,0.12828867821279744,-0.020156233756495178,0.05113482152780219,-0.0010947085523175773,-0.011328516131166155,0.0042102708304141345,0.05403265162096226,0.12017742358200677,-0.005529663940477755,0.030127777079307576,-0.11733048292385255,-0.00605353198206301,0.020683088838580853,0.04787763862951694,-0.006305397727141757,0.002394199975390383,-0.009785403079808238,0.014573751018418605,"ux,designer"
1,0.2561321744900359,0.2406887287247345,0.1557457774158952,-0.023822699165712544,0.022769227616279145,-0.022445939800361935,0.0794184201107311,-0.06656846697273662,-0.00018195071311348672,0.03257722693996557,0.005448282527763772,-0.008952236546306959,0.009656478710364017,-0.05537018584787784,0.01559579946725049,-0.037013058382170026,0.02329359708111547,0.0429911028439762,0.02121957136856724,0.03117604963493974,"ux,designer"
2,0.40597163390323543,0.1896054064828742,0.25383330052369774,0.018843186483913085,-0.09584108153601936,0.016952634018436854,-0.17194892368836207,-0.08515004368396087,-0.07427248380086143,0.056525964254346195,-0.03420091923753846,0.01350446083071624,-0.07066911246807515,0.0023902983692175566,0.03874742005113529,0.05627421111314651,-0.028698146219193248,-0.03539000783018713,-0.035932509292687737,0.0082638524429359,"ux,designer"
3,0.33165997660407925,0.37720410605255994,0.39663577537216155,0.07556703404153796,0.05211540395706405,0.027907903540398085,-0.11624522225529056,0.05878248916118785,-0.03811416413455187,-0.05362042531339627,0.07692427292142034,0.024760427261646838,-0.05334950464168655,0.036674646886474226,-0.014677978063600808,-0.04300362901749037,-0.00603858669343074,-0.08254426843063092,0.007250304768896536,0.02863490686267647,"ux,designer"
4,0.3209819709542206,0.270381322777027,0.3146207022738668,-0.043632609361545005,0.027805759741085647,-0.049010958528412724,0.07410162672945216,-0.09805139977944405,0.04391599817705792,0.12592125005825705,0.18636568766239395,-0.10159307608882792,0.024024807746465825,-0.08727848337710535,-0.21020720858100514,-0.33403451864426564,-0.07321863316530859,0.4614937030175883,-0.04921493162848807,-0.07589384617764337,"ux,designer"
5,0.35328868190551144,0.40211664019786547,0.3756037661131868,0.034304114393497606,-0.019783106523380743,0.022018682909569622,-0.029199804552618065,0.05858408956735071,-0.046476003725416805,-0.0879971713126691,0.005168064693644628,-0.012421441328419288,0.1382765351584893,0.015910907221012186,-0.002743836746250559,-0.01104837419984235,-0.04241676415320585,-0.010775971635421143,0.029232140094361682,0.020186771811872645,"ux,designer"
6,0.28532001419846825,0.33375484263871946,0.3524829492231249,0.04706298906740902,-0.0756586337879695,0.02673378771843663,-0.05189478742264602,-0.0068862636085049445,-0.11661302753519606,-0.09155360296690186,-0.023653889608492875,-0.034403792359115,0.12096800192785348,0.009532089779379655,-0.01683243392433419,0.016569545659962093,-0.042672520581521226,-0.04396879466468693,0.006090483833065454,0.011025052337818766,"ux,designer"
7,0.3571891614691964,0.2721168658168234,0.25199220145391865,0.027984147173824178,0.028500468054730478,-0.012379397175127099,-0.024052438756502304,-0.014327776038756249,-0.019181117915407907,0.07657190893308759,-0.007361725633101325,0.05421608617064832,-0.04464822970465726,-0.003433909062655417,-0.0024014342756825627,0.0053011589951045485,0.06204547534206867,-0.031060787881780898,-0.0703144131850987,0.013602775297128592,"ux,designer"
8,0.2348356204771007,0.29275824173915294,0.28889511995203526,0.030097864569187244,0.019673018055721254,-0.002468161582361232,-0.01345504173185851,0.0006197901972270865,-0.039154897805936534,-0.0006161074643768764,-0.035701173240995025,0.003928330282798702,-0.02400971806757779,-0.021125823360161115,0.015537935496117702,0.013965802981915122,0.06362979621769985,-0.035241488346209514,0.05636376443764198,-0.010046108485363442,"ux,designer"
9,0.27511428245544545,0.17981783419167055,0.10007832520332846,-0.030707383176468848,-0.01769754955653075,0.0067029853217819135,0.014045091191784879,-0.09541561136637976,-0.08256975366374136,0.09136042772237987,-0.11085132812867751,0.08229792745899792,-0.055027576526955675,0.0022474636591395493,0.04727716448752871,0.09661363444030294,0.1323565141197885,-0.08848405011305546,-0.0777580033564218,0.041319091783602845,"ux,designer"
